, State, County, Local_Co_Name
317,CALIFORNIA,San Francisco,Wave Broadband
318,CALIFORNIA,San Francisco,Wave Broadband
319,CALIFORNIA,San Francisco,Wave Broadband
320,CALIFORNIA,Marin,Horizon Cable TV Inc
321,CALIFORNIA,Contra Costa,Wave Broadband
322,CALIFORNIA,Contra Costa,Wave Broadband
323,CALIFORNIA,Contra Costa,Wave Broadband
324,COLORADO,El Paso,Comcast Cable
325,COLORADO,El Paso,Comcast Cable
326,COLORADO,El Paso,Comcast Cable
327,COLORADO,El Paso,Comcast Cable
328,COLORADO,Pueblo,Comcast Cable
329,COLORADO,Pueblo,Comcast Cable
330,COLORADO,Pueblo,Comcast Cable
331,COLORADO,Boulder,Comcast Cable
332,COLORADO,Boulder,Comcast Cable
333,COLORADO,Boulder,Comcast Cable
334,COLORADO,Fremont,Charter Communications
335,COLORADO,Fremont,Charter Communications
336,COLORADO,Pitkin,Comcast Cable
337,COLORADO,Pitkin,Comcast Cable
338,COLORADO,Pitkin,Comcast Cable
339,COLORADO,Larimer,Baja Broadband
340,COLORADO,Larimer,Baja Broadband
341,COLORADO,Larimer,Baja Broadband
342,COLORADO,Montezuma,Baja Broadband
343,COLORADO,Montezuma,Baja Broadband
344,COLORADO,Montezuma,Baja Broadband
345,COLORADO,Larimer,Baja Broadband
346,COLORADO,Larimer,Baja Broadband
347,COLORADO,Larimer,Baja Broadband
348,COLORADO,Larimer,Baja Broadband
349,COLORADO,La Plata,USA Communications
350,COLORADO,El Paso,Peterson Broadband
351,COLORADO,El Paso,Peterson Broadband
352,COLORADO,Boulder,Lyons Communications
353,COLORADO,Boulder,Lyons Communications
354,COLORADO,Washington,Vyve Broadband
355,COLORADO,Washington,Vyve Broadband
356,COLORADO,Washington,Vyve Broadband
357,COLORADO,Weld,K2 Communications
358,COLORADO,Weld,K2 Communications
359,CONNECTICUT,Fairfield,Cablevision
360,CONNECTICUT,Fairfield,Cablevision
361,CONNECTICUT,Fairfield,Cablevision
362,CONNECTICUT,Fairfield,Cablevision
363,CONNECTICUT,Fairfield,Cablevision
364,CONNECTICUT,Fairfield,Cablevision
365,CONNECTICUT,Hartford,Cox Communications
366,CONNECTICUT,Hartford,Cox Communications
367,CONNECTICUT,Hartford,Cox Communications
368,CONNECTICUT,Hartford,Cox Communications
369,CONNECTICUT,Hartford,Cox Communications
370,CONNECTICUT,New Haven,Comcast Cable
371,CONNECTICUT,New Haven,Comcast Cable
372,CONNECTICUT,New Haven,Comcast Cable
373,CONNECTICUT,New London,Atlantic Broadband
374,CONNECTICUT,New London,Atlantic Broadband
375,CONNECTICUT,New London,Atlantic Broadband
376,CONNECTICUT,New London,Atlantic Broadband
377,CONNECTICUT,New Haven,Cox Communications
378,CONNECTICUT,New Haven,Cox Communications
379,CONNECTICUT,New Haven,Cox Communications
380,CONNECTICUT,New Haven,Cox Communications
381,CONNECTICUT,New Haven,Cox Communications
382,CONNECTICUT,Hartford,Cox Communications
383,CONNECTICUT,Hartford,Cox Communications
384,CONNECTICUT,Hartford,Cox Communications
385,CONNECTICUT,Hartford,Cox Communications
386,CONNECTICUT,Hartford,Cox Communications
387,CONNECTICUT,Fairfield,Comcast Cable
388,CONNECTICUT,Fairfield,Comcast Cable
389,CONNECTICUT,Fairfield,Comcast Cable
